sexo,edad,year,Valor
Hombres,9,2019,0.985751486
Hombres,10,2019,0.986344921
Hombres,11,2019,0.98879441
Hombres,12,2019,0.985266539
Hombres,13,2019,0.974482252
Hombres,14,2019,0.95936075
Hombres,15,2019,0.944647256
Hombres,16,2019,0.928327328
Hombres,17,2019,0.916647087
Hombres,18,2019,0.914002665
Hombres,19,2019,0.918604373
Hombres,20,2019,0.923542786
Hombres,21,2019,0.930271607
Hombres,22,2019,0.937799798
Hombres,23,2019,0.944070034
Hombres,24,2019,0.949352663
Hombres,25,2019,0.956753319
Hombres,26,2019,0.966334921
Hombres,27,2019,0.974458319
Hombres,28,2019,0.979898999
Hombres,29,2019,0.982186388
Hombres,30,2019,0.984867778
Hombres,31,2019,0.98703615
Hombres,32,2019,0.988361293
Hombres,33,2019,0.98992224
Hombres,34,2019,0.991498235
Hombres,35,2019,0.992164919
Hombres,36,2019,0.991897409
Hombres,37,2019,0.992478136
Hombres,38,2019,0.993345286
Hombres,39,2019,0.994548065
Hombres,40,2019,0.995477208
Hombres,41,2019,0.996389419
Hombres,42,2019,0.996959841
Hombres,43,2019,0.996802177
Hombres,44,2019,0.996741574
Hombres,45,2019,0.996544263
Hombres,46,2019,0.996346518
Hombres,47,2019,0.996338869
Hombres,48,2019,0.996415433
Hombres,49,2019,0.996654244
Hombres,50,2019,0.996759467
Hombres,51,2019,0.996962097
Hombres,52,2019,0.997155178
Hombres,53,2019,0.997135369
Hombres,54,2019,0.9976098
Hombres,55,2019,0.997830283
Hombres,56,2019,0.997982323
Hombres,57,2019,0.997935558
Hombres,58,2019,0.997964518
Hombres,59,2019,0.998143662
Hombres,60,2019,0.998244452
Hombres,61,2019,0
Hombres,62,2019,0
Hombres,63,2019,0
Hombres,64,2019,0
Hombres,65,2019,0
Hombres,66,2019,0
Hombres,67,2019,0
Hombres,68,2019,0
Hombres,69,2019,0
Hombres,70,2019,0
Hombres,71,2019,0
Hombres,72,2019,0
Hombres,73,2019,0
Hombres,74,2019,0
Hombres,75,2019,0
Hombres,76,2019,0
Hombres,77,2019,0
Hombres,78,2019,0
Hombres,79,2019,0
Hombres,80,2019,0
Hombres,81,2019,0
Hombres,82,2019,0
Hombres,83,2019,0
Hombres,84,2019,0
Hombres,85,2019,0
Hombres,86,2019,0
Hombres,87,2019,0
Hombres,88,2019,0
Hombres,89,2019,0
Hombres,90,2019,0
Hombres,91,2019,0
Hombres,92,2019,0
Hombres,93,2019,0
Hombres,94,2019,0
Hombres,95,2019,0
Hombres,96,2019,0
Hombres,97,2019,0
Hombres,98,2019,0
Hombres,99,2019,0
Hombres,100,2019,0
Hombres,101,2019,0
Hombres,102,2019,0
Hombres,103,2019,0
Hombres,104,2019,0
Hombres,105,2019,0
Hombres,106,2019,0
Hombres,107,2019,0
Hombres,108,2019,0
Hombres,109,2019,0
Hombres,0,2020,0.995959262
Hombres,1,2020,0.989013337
Hombres,2,2020,0.984628933
Hombres,3,2020,0.98245735
Hombres,4,2020,0.981673759
Hombres,5,2020,0.982011335
Hombres,6,2020,0.982528151
Hombres,7,2020,0.983781674
Hombres,8,2020,0.985165481
Hombres,9,2020,0.98604769
Hombres,10,2020,0.986675915
Hombres,11,2020,0.989156455
Hombres,12,2020,0.985960157
Hombres,13,2020,0.975598238
Hombres,14,2020,0.96083205
Hombres,15,2020,0.946505297
Hombres,16,2020,0.930619033
Hombres,17,2020,0.919291475
Hombres,18,2020,0.916837185
Hombres,19,2020,0.921433687
Hombres,20,2020,0.926308207
Hombres,21,2020,0.932974438
Hombres,22,2020,0.940410402
Hombres,23,2020,0.946480003
Hombres,24,2020,0.951431726
Hombres,25,2020,0.958408036
Hombres,26,2020,0.967484831
Hombres,27,2020,0.975102733
Hombres,28,2020,0.980247656
Hombres,29,2020,0.982414892
Hombres,30,2020,0.985015266
Hombres,31,2020,0.987165915
Hombres,32,2020,0.988511715
Hombres,33,2020,0.990165011
Hombres,34,2020,0.99193215
Hombres,35,2020,0.992724111
Hombres,36,2020,0.992556522
Hombres,37,2020,0.993211158
Hombres,38,2020,0.994015401
Hombres,39,2020,0.995080096
Hombres,40,2020,0.99593323
Hombres,41,2020,0.99675896
Hombres,42,2020,0.997312489
Hombres,43,2020,0.997142457
Hombres,44,2020,0.997066513
Hombres,45,2020,0.996917617
Hombres,46,2020,0.996812953
Hombres,47,2020,0.996804649
Hombres,48,2020,0.996822743
Hombres,49,2020,0.997139612
Hombres,50,2020,0.997220002
Hombres,51,2020,0.997425789
Hombres,52,2020,0.997667744
Hombres,53,2020,0.997530742
Hombres,54,2020,0.998038791
Hombres,55,2020,0.998182589
Hombres,56,2020,0.998314599
Hombres,57,2020,0.998196619
Hombres,58,2020,0.998236627
Hombres,59,2020,0.998383537
Hombres,60,2020,0.998452186
Hombres,61,2020,0
Hombres,62,2020,0
Hombres,63,2020,0
Hombres,64,2020,0
Hombres,65,2020,0
Hombres,66,2020,0
Hombres,67,2020,0
Hombres,68,2020,0
Hombres,69,2020,0
Hombres,70,2020,0
Hombres,71,2020,0
Hombres,72,2020,0
Hombres,73,2020,0
Hombres,74,2020,0
Hombres,75,2020,0
Hombres,76,2020,0
Hombres,77,2020,0
Hombres,78,2020,0
Hombres,79,2020,0
Hombres,80,2020,0
Hombres,81,2020,0
Hombres,82,2020,0
Hombres,83,2020,0
Hombres,84,2020,0
Hombres,85,2020,0
Hombres,86,2020,0
Hombres,87,2020,0
Hombres,88,2020,0
Hombres,89,2020,0
Hombres,90,2020,0
Hombres,91,2020,0
Hombres,92,2020,0
Hombres,93,2020,0
Hombres,94,2020,0
Hombres,95,2020,0
Hombres,96,2020,0
Hombres,97,2020,0
Hombres,98,2020,0
Hombres,99,2020,0
Hombres,100,2020,0
Hombres,101,2020,0
Hombres,102,2020,0
Hombres,103,2020,0
Hombres,104,2020,0
Hombres,105,2020,0
Hombres,106,2020,0
Hombres,107,2020,0
Hombres,108,2020,0
Hombres,109,2020,0
Hombres,0,2021,0.995641599
Hombres,1,2021,0.990196537
Hombres,2,2021,0.986378268
Hombres,3,2021,0.984304758
Hombres,4,2021,0.983366248
Hombres,5,2021,0.983404631
